DATE	DRCCLACBN	DRCCLACBS	DRSFRMACBN	DRSFRMACBS	GFDEBTN
1997-04-01	4.56	4.73	2.19	2.28	5376151
1997-07-01	4.79	4.70	2.22	2.26	5413146
1997-10-01	4.92	4.81	2.34	2.21	5502388
1998-01-01	4.73	4.76	2.16	2.20	5542426
1998-04-01	4.59	4.76	2.03	2.13	5547935
1998-07-01	4.82	4.72	2.10	2.09	5526193
1998-10-01	4.85	4.74	2.17	2.02	5614217
1999-01-01	4.62	4.66	1.90	1.95	5651615
1999-04-01	4.40	4.58	1.80	1.89	5638780
1999-07-01	4.70	4.60	2.15	2.13	5656271
1999-10-01	4.67	4.55	2.08	1.99	5776091
2000-01-01	4.38	4.43	1.95	1.95	5773392
2000-04-01	4.34	4.51	1.89	1.97	5685938
2000-07-01	4.62	4.53	2.07	2.09	5674179
2000-10-01	4.71	4.57	2.42	2.23	5662216
2001-01-01	4.75	4.81	2.28	2.34	5773740
2001-04-01	4.75	4.94	2.30	2.40	5726815
2001-07-01	5.09	5.00	2.19	2.19	5807464
2001-10-01	4.86	4.69	2.41	2.26	5943439
2002-01-01	4.85	4.94	2.21	2.23	6006032
2002-04-01	4.61	4.78	2.06	2.16	6126469
2002-07-01	4.96	4.89	2.05	2.11	6228236
2002-10-01	5.05	4.84	2.13	2.00	6405707
2003-01-01	4.57	4.68	1.96	1.96	6460776
2003-04-01	4.38	4.53	1.74	1.83	6670121
2003-07-01	4.29	4.24	1.68	1.74	6783320
2003-10-01	4.62	4.43	1.93	1.76	6997964
2004-01-01	4.10	4.21	1.63	1.65	7131068
2004-04-01	4.02	4.15	1.52	1.60	7274335
2004-07-01	4.12	4.07	1.55	1.54	7379053
2004-10-01	4.20	4.03	1.51	1.41	7596143
2005-01-01	3.62	3.70	1.40	1.42	7776939
2005-04-01	3.56	3.67	1.47	1.55	7836496
2005-07-01	3.95	3.90	1.54	1.59	7932710
2005-10-01	3.65	3.54	1.78	1.63	8170413
2006-01-01	3.80	3.86	1.57	1.61	8371156
2006-04-01	4.01	4.13	1.53	1.62	8420042
2006-07-01	4.17	4.12	1.72	1.74	8506974
2006-10-01	4.05	3.95	2.11	1.91	8680224
2007-01-01	3.96	3.98	2.01	2.08	8849665
2007-04-01	3.90	4.02	2.17	2.31	8867677
2007-07-01	4.45	4.41	2.73	2.71	9007653
2007-10-01	4.68	4.60	3.30	3.09	9229172
2008-01-01	4.80	4.77	3.67	3.66	9437594
2008-04-01	4.74	4.90	4.15	4.38	9492006
2008-07-01	4.83	4.80	5.16	5.30	10024725
2008-10-01	5.72	5.64	7.05	6.60	10699805
2009-01-01	6.61	6.51	7.88	7.95	11126941
2009-04-01	6.53	6.77	8.21	8.59	11545275
2009-07-01	6.51	6.49	9.49	9.53	11909828
2009-10-01	6.43	6.33	10.97	10.34	12311349
2010-01-01	5.88	5.78	11.36	11.53	12773123
2010-04-01	4.90	5.10	10.72	11.06	13201792
2010-07-01	4.59	4.58	10.67	10.60	13561622
2010-10-01	4.22	4.14	10.50	10.37	14025215
2011-01-01	3.89	3.82	10.51	10.35	14270114
2011-04-01	3.50	3.65	10.29	10.52	14343087
2011-07-01	3.47	3.45	10.28	10.50	14790340
2011-10-01	3.32	3.25	10.52	10.29	15222940
2012-01-01	3.10	3.06	10.40	10.35	15606518
2012-04-01	2.79	2.92	10.26	10.42	15855037
2012-07-01	2.84	2.82	10.62	10.44	16066240
2012-10-01	2.78	2.71	10.18	10.05	16432730
2013-01-01	2.67	2.65	9.72	9.75	16771381
2013-04-01	2.41	2.53	9.18	9.29	16738320
2013-07-01	2.47	2.44	8.60	8.65	16738180
2013-10-01	2.45	2.38	8.36	8.32	17156119
2014-01-01	2.33	2.32	7.82	7.77	17601227
2014-04-01	2.15	2.26	7.32	7.42	17632606
2014-07-01	2.23	2.20	6.95	7.06	17824071
2014-10-01	2.22	2.15	6.71	6.53	18141444
2015-01-01	2.13	2.12	6.15	6.23	18152056
2015-04-01	2.01	2.12	5.71	5.81	18151998
2015-07-01	2.18	2.15	5.43	5.40	18150618
2015-10-01	2.23	2.16	5.27	5.08	18922179
2016-01-01	2.16	2.16	4.83	4.80	19264939
2016-04-01	2.09	2.20	4.49	4.59	19381591
2016-07-01	2.33	2.28	4.28	4.37	19573445
2016-10-01	2.44	2.37	4.25	4.14	19976827
2017-01-01	2.42	2.42	3.90	3.91	19846420
2017-04-01	2.35	2.47	3.60	3.69	19844554
2017-07-01	2.57	2.52	3.62	3.63	20244900
2017-10-01	2.56	2.48	3.73	3.55	20492747
2018-01-01	2.54	2.54	3.42	3.49	21089643
