DATE,CPIAUCSL_PC1
1974-01-01,9.60187
1974-02-01,10.00000
1974-03-01,10.13825
1974-04-01,10.06865
1974-05-01,10.70615
1974-06-01,10.85973
1974-07-01,11.53846
1974-08-01,10.88889
1974-09-01,11.94690
1974-10-01,11.84211
1974-11-01,12.20044
1974-12-01,12.09503
1975-01-01,11.75214
1975-02-01,11.20507
1975-03-01,10.46025
1975-04-01,10.18711
1975-05-01,9.25926
1975-06-01,9.18367
1975-07-01,9.53347
1975-08-01,8.61723
1975-09-01,7.90514
1975-10-01,7.64706
1975-11-01,7.37864
1975-12-01,7.12909
1976-01-01,6.69216
1976-02-01,6.27376
1976-03-01,6.06061
1976-04-01,5.84906
1976-05-01,6.21469
1976-06-01,5.98131
1976-07-01,5.55556
1976-08-01,5.71956
1976-09-01,5.49451
1976-10-01,5.46448
1976-11-01,5.06329
1976-12-01,5.03597
1977-01-01,5.19713
1977-02-01,6.08229
1977-03-01,6.42857
1977-04-01,6.95187
1977-05-01,6.73759
1977-06-01,6.70194
1977-07-01,6.66667
1977-08-01,6.63176
1977-09-01,6.42361
1977-10-01,6.39033
1977-11-01,6.71256
1977-12-01,6.67808
1978-01-01,6.81431
1978-02-01,6.23946
1978-03-01,6.37584
1978-04-01,6.50000
1978-05-01,7.14286
1978-06-01,7.43802
1978-07-01,7.73026
1978-08-01,7.85597
1978-09-01,8.48287
1978-10-01,8.92857
1978-11-01,8.87097
1978-12-01,8.98876
1979-01-01,9.25040
1979-02-01,9.84127
1979-03-01,10.25237
1979-04-01,10.48513
1979-05-01,10.69767
1979-06-01,11.07692
1979-07-01,11.45038
1979-08-01,11.83612
1979-09-01,11.87970
1979-10-01,12.07154
1979-11-01,12.59259
1979-12-01,13.25479
1980-01-01,13.86861
1980-02-01,14.16185
1980-03-01,14.59227
1980-04-01,14.58924
1980-05-01,14.42577
1980-06-01,14.26593
1980-07-01,13.15068
1980-08-01,12.89009
1980-09-01,12.76882
1980-10-01,12.63298
1980-11-01,12.63158
1980-12-01,12.35371
1981-01-01,11.79487
1981-02-01,11.39241
1981-03-01,10.61174
1981-04-01,10.13597
1981-05-01,9.79192
1981-06-01,9.69697
1981-07-01,10.77482
1981-08-01,10.81731
1981-09-01,10.96544
1981-10-01,10.27155
1981-11-01,9.57944
1981-12-01,8.91204
1982-01-01,8.25688
1982-02-01,7.61364
1982-03-01,6.88488
1982-04-01,6.62177
1982-05-01,6.91193
1982-06-01,7.18232
1982-07-01,6.55738
1982-08-01,5.96529
1982-09-01,4.94092
1982-10-01,5.03212
1982-11-01,4.47761
1982-12-01,3.82572
1983-01-01,3.70763
1983-02-01,3.48469
1983-03-01,3.59029
1983-04-01,4.00000
1983-05-01,3.44108
1983-06-01,2.47423
1983-07-01,2.35897
1983-08-01,2.45650
1983-09-01,2.76356
1983-10-01,2.75229
1983-11-01,3.16327
1983-12-01,3.78710
1984-01-01,4.29009
1984-02-01,4.69388
1984-03-01,4.89297
1984-04-01,4.55466
1984-05-01,4.33468
1984-06-01,4.32596
1984-07-01,4.30862
1984-08-01,4.29570
1984-09-01,4.28287
1984-10-01,4.26587
1984-11-01,4.15430
1984-12-01,4.04339
1985-01-01,3.52595
1985-02-01,3.60624
1985-03-01,3.79009
1985-04-01,3.58180
1985-05-01,3.57488
1985-06-01,3.66442
1985-07-01,3.45821
1985-08-01,3.35249
1985-09-01,3.24737
1985-10-01,3.23501
1985-11-01,3.51377
1985-12-01,3.79147
1986-01-01,3.97351
1986-02-01,3.19849
1986-03-01,2.15356
1986-04-01,1.58879
1986-05-01,1.67910
1986-06-01,1.76744
1986-07-01,1.67131
1986-08-01,1.57553
1986-09-01,1.75763
1986-10-01,1.56682
1986-11-01,1.28440
1986-12-01,1.18721
1987-01-01,1.36488
1987-02-01,1.91431
1987-03-01,2.84143
1987-04-01,3.67985
1987-05-01,3.66972
1987-06-01,3.74771
1987-07-01,3.92694
1987-08-01,4.28832
1987-09-01,4.27273
1987-10-01,4.35572
1987-11-01,4.52899
1987-12-01,4.33213
1988-01-01,4.12926
1988-02-01,3.93560
1988-03-01,3.83244
1988-04-01,3.99290
1988-05-01,3.98230
1988-06-01,3.96476
1988-07-01,4.13005
1988-08-01,4.11199
1988-09-01,4.18483
1988-10-01,4.26087
1988-11-01,4.24610
1988-12-01,4.41176
1989-01-01,4.48276
1989-02-01,4.64716
1989-03-01,4.89270
1989-04-01,5.03413
1989-05-01,5.27660
1989-06-01,5.16949
1989-07-01,5.06329
1989-08-01,4.62185
1989-09-01,4.43515
1989-10-01,4.58716
1989-11-01,4.65503
1989-12-01,4.63960
1990-01-01,5.19802
1990-02-01,5.26316
1990-03-01,5.23732
1990-04-01,4.71162
1990-05-01,4.36540
1990-06-01,4.67365
1990-07-01,4.81928
1990-08-01,5.70281
1990-09-01,6.16987
1990-10-01,6.37959
1990-11-01,6.19539
1990-12-01,6.25495
1991-01-01,5.64706
1991-02-01,5.31250
1991-03-01,4.82115
1991-04-01,4.80993
1991-05-01,5.03486
1991-06-01,4.69592
1991-07-01,4.36782
1991-08-01,3.79939
1991-09-01,3.39623
1991-10-01,2.84858
1991-11-01,3.06657
1991-12-01,2.98063
1992-01-01,2.67261
1992-02-01,2.81899
1992-03-01,3.18991
1992-04-01,3.18283
1992-05-01,3.02360
1992-06-01,3.01471
1992-07-01,3.15712
1992-08-01,3.07467
1992-09-01,2.99270
1992-10-01,3.27988
1992-11-01,3.12046
1992-12-01,2.96671
1993-01-01,3.25380
1993-02-01,3.24675
1993-03-01,3.01941
1993-04-01,3.15638
1993-05-01,3.22119
1993-06-01,2.99786
1993-07-01,2.84698
1993-08-01,2.84091
1993-09-01,2.76400
1993-10-01,2.75229
1993-11-01,2.74455
1993-12-01,2.81096
1994-01-01,2.45098
1994-02-01,2.51572
1994-03-01,2.65178
1994-04-01,2.36439
1994-05-01,2.28849
1994-06-01,2.49480
1994-07-01,2.69896
1994-08-01,2.90055
1994-09-01,2.96552
1994-10-01,2.60989
1994-11-01,2.60274
1994-12-01,2.59740
1995-01-01,2.87081
1995-02-01,2.86299
1995-03-01,2.78722
1995-04-01,3.12500
1995-05-01,3.11864
1995-06-01,3.04260
1995-07-01,2.83019
1995-08-01,2.61745
1995-09-01,2.54521
1995-10-01,2.74431
1995-11-01,2.60347
1995-12-01,2.53165
1996-01-01,2.79070
1996-02-01,2.71703
1996-03-01,2.84392
1996-04-01,2.83267
1996-05-01,2.82709
1996-06-01,2.82152
1996-07-01,2.88336
1996-08-01,2.81230
1996-09-01,3.00457
1996-10-01,3.06189
1996-11-01,3.25309
1996-12-01,3.37882
1997-01-01,3.03814
1997-02-01,3.03226
1997-03-01,2.76527
1997-04-01,2.43434
1997-05-01,2.23785
1997-06-01,2.23357
1997-07-01,2.16561
1997-08-01,2.29008
1997-09-01,2.21940
1997-10-01,2.08597
1997-11-01,1.89036
1997-12-01,1.69705
1998-01-01,1.63112
1998-02-01,1.44020
1998-03-01,1.37672
1998-04-01,1.43840
1998-05-01,1.68856
1998-06-01,1.62297
1998-07-01,1.74564
1998-08-01,1.61692
1998-09-01,1.42680
1998-10-01,1.48607
1998-11-01,1.48423
1998-12-01,1.60692
1999-01-01,1.66667
1999-02-01,1.66667
1999-03-01,1.72840
1999-04-01,2.28113
1999-05-01,2.09102
1999-06-01,1.96560
1999-07-01,2.14461
1999-08-01,2.26438
1999-09-01,2.62997
1999-10-01,2.56254
1999-11-01,2.62035
1999-12-01,2.67640
2000-01-01,2.79296
2000-02-01,3.21797
2000-03-01,3.76214
2000-04-01,3.01386
2000-05-01,3.13253
2000-06-01,3.73494
2000-07-01,3.59928
2000-08-01,3.35129
2000-09-01,3.45650
2000-10-01,3.45033
2000-11-01,3.44418
2000-12-01,3.43602
2001-01-01,3.72120
2001-02-01,3.52941
2001-03-01,2.98246
2001-04-01,3.21826
2001-05-01,3.56308
2001-06-01,3.19396
2001-07-01,2.72148
2001-08-01,2.72148
2001-09-01,2.59217
2001-10-01,2.12766
2001-11-01,1.89437
2001-12-01,1.60367
2002-01-01,1.19590
2002-02-01,1.13636
2002-03-01,1.36286
2002-04-01,1.64399
2002-05-01,1.24083
2002-06-01,1.06922
2002-07-01,1.46561
2002-08-01,1.74746
2002-09-01,1.51600
2002-10-01,2.02703
2002-11-01,2.25352
2002-12-01,2.48027
2003-01-01,2.75746
2003-02-01,3.14607
2003-03-01,3.02521
2003-04-01,2.17513
2003-05-01,1.89415
2003-06-01,1.94878
2003-07-01,2.05556
2003-08-01,2.21607
2003-09-01,2.37832
2003-10-01,2.04194
2003-11-01,1.92837
2003-12-01,2.03520
2004-01-01,2.02629
2004-02-01,1.68845
2004-03-01,1.74008
2004-04-01,2.29258
2004-05-01,2.89776
2004-06-01,3.16767
2004-07-01,2.93958
2004-08-01,2.54743
2004-09-01,2.53917
2004-10-01,3.19091
2004-11-01,3.62162
2004-12-01,3.34232
2005-01-01,2.84487
2005-02-01,3.05303
2005-03-01,3.20684
2005-04-01,3.36179
2005-05-01,2.86929
2005-06-01,2.54103
2005-07-01,3.06716
2005-08-01,3.64693
2005-09-01,4.74183
2005-10-01,4.35010
2005-11-01,3.33855
2005-12-01,3.33855
2006-01-01,4.01879
2006-02-01,3.63825
2006-03-01,3.41792
2006-04-01,3.61384
2006-05-01,3.97727
2006-06-01,4.18172
2006-07-01,4.10467
2006-08-01,3.92657
2006-09-01,2.01207
2006-10-01,1.40633
2006-11-01,1.96870
2006-12-01,2.52398
2007-01-01,2.07577
2007-02-01,2.42026
2007-03-01,2.79820
2007-04-01,2.59292
2007-05-01,2.70989
2007-06-01,2.69277
2007-07-01,2.31789
2007-08-01,1.89745
2007-09-01,2.83383
2007-10-01,3.61070
2007-11-01,4.37327
2007-12-01,4.10881
2008-01-01,4.29470
2008-02-01,4.14296
2008-03-01,3.97490
2008-04-01,3.90376
2008-05-01,4.08841
2008-06-01,4.93597
2008-07-01,5.49751
2008-08-01,5.30802
2008-09-01,4.95332
2008-10-01,3.73106
2008-11-01,1.09992
2008-12-01,-0.02223
2009-01-01,-0.11359
2009-02-01,0.00846
2009-03-01,-0.44648
2009-04-01,-0.57632
2009-05-01,-1.01576
2009-06-01,-1.22917
2009-07-01,-1.95876
2009-08-01,-1.48384
2009-09-01,-1.37794
2009-10-01,-0.22397
2009-11-01,1.91459
2009-12-01,2.81412
2010-01-01,2.62111
2010-02-01,2.15134
2010-03-01,2.28617
2010-04-01,2.20677
2010-05-01,2.00355
2010-06-01,1.12156
2010-07-01,1.34078
2010-08-01,1.15018
2010-09-01,1.11831
2010-10-01,1.16670
2010-11-01,1.08454
2010-12-01,1.43779
2011-01-01,1.70078
2011-02-01,2.12490
2011-03-01,2.61924
2011-04-01,3.07723
2011-05-01,3.45897
2011-06-01,3.50232
2011-07-01,3.57988
2011-08-01,3.75500
2011-09-01,3.81262
2011-10-01,3.52227
2011-11-01,3.45143
2011-12-01,3.06207
2012-01-01,3.00877
2012-02-01,2.89818
2012-03-01,2.58288
2012-04-01,2.27316
2012-05-01,1.73794
2012-06-01,1.65387
2012-07-01,1.41751
2012-08-01,1.68593
2012-09-01,1.94972
2012-10-01,2.15568
2012-11-01,1.79602
2012-12-01,1.75950
2013-01-01,1.68406
2013-02-01,2.01814
2013-03-01,1.51875
2013-04-01,1.13881
2013-05-01,1.39039
2013-06-01,1.71579
2013-07-01,1.88547
2013-08-01,1.53881
2013-09-01,1.09473
2013-10-01,0.87680
2013-11-01,1.23287
2013-12-01,1.51284
2014-01-01,1.58323
2014-02-01,1.10974
2014-03-01,1.58170
2014-04-01,2.01297
2014-05-01,2.14495
2014-06-01,2.04048
2014-07-01,1.96866
2014-08-01,1.70610
2014-09-01,1.67335
2014-10-01,1.61682
2014-11-01,1.25673
2014-12-01,0.66079
2015-01-01,-0.21713
2015-02-01,-0.10530
2015-03-01,0.00000
2015-04-01,-0.12602
2015-05-01,0.03589
2015-06-01,0.18129
2015-07-01,0.21391
2015-08-01,0.23164
2015-09-01,0.00632
2015-10-01,0.13350
2015-11-01,0.43452
2015-12-01,0.65899
2016-01-01,1.34306
2016-02-01,0.95973
2016-03-01,0.87559
2016-04-01,1.13395
2016-05-01,1.04958
2016-06-01,1.03359
2016-07-01,0.86767
2016-08-01,1.08408
2016-09-01,1.49494
2016-10-01,1.64154
2016-11-01,1.68394
2016-12-01,2.08429
2017-01-01,2.53708
2017-02-01,2.76594
2017-03-01,2.39264
2017-04-01,2.19558
2017-05-01,1.86770
2017-06-01,1.64866
2017-07-01,1.74041
2017-08-01,1.95079
2017-09-01,2.23013
2017-10-01,2.03420
2017-11-01,2.20174
2017-12-01,2.11134
2018-01-01,2.13787
2018-02-01,2.26012
2018-03-01,2.35724
2018-04-01,2.42782
2018-05-01,2.71574
